Wallet,Telegram ID,SUM of USDT Allocation before Fees,SUM of USDT Allocation After fees,SUM of Deal Level Profit before fees,SUM of Deal Level profit after fees,Refund Already Done,Balance to be Paid,Next Tranche to be paid,,Don't Touch Column G
Zephyrus,Zephyrus,"11,229,178","10,554,467","-4,439,728.30","-3,765,017.60",,"-3,765,017.60","-376,501.76",,
Gemhead,Gemhead,"7,134,419","6,777,694","-3,417,560.95","-3,060,836.61",,"-3,060,836.61","-306,083.66",,
Chateau,Chateau,"6,502,893","6,175,605","-2,540,579.39","-2,213,291.35",,"-2,213,291.35","-221,329.13",,
DCI,DCI,"13,769,800","13,081,310","-2,136,611.10","-1,448,121.10","1,448,121",0.00,0.00,,
Armando,Armando,"3,613,948","3,433,250","-1,619,248.24","-1,438,550.00",,"-1,438,550.00","-143,855.00",,
Davey_Airey,Davey_Airey,"2,083,902","1,972,402","-1,513,312.59","-1,401,812.59","200,000","-1,201,812.59","-140,181.26",,
0xa81ace214b97d4b9c2072a934d0c4de486757538,horetore,"1,978,071","1,791,321","-1,284,711.44","-1,097,961.44",,"-1,097,961.44","-109,796.14",,
Esad,Esad,"1,167,211","1,111,630","-746,063.15","-690,482.40","46,820","-643,662.40","-69,048.24",,
0x895f18a11948d49c4d455ccfbe94ce0a75319273,senci123,"2,895,000","2,605,500","-844,499.40","-554,999.40","554,999",0.00,0.00,,
Runningtrips,Runningtrips,"1,082,367","993,720","-584,329.00","-495,682.00",,"-495,682.00","-49,568.20",,
brunomcf,brunomcf,"1,188,750","1,129,313","-525,387.23","-465,949.73",,"-465,949.73","-46,594.97",,
0x97e93c2992341049231ddd85ff9e6f55a3dd616d,Praveen2420,"1,027,100","924,390","-487,294.40","-384,584.40","350,000","-34,584.40","-3,458.44",,
0x84411e36f57516f3b359d9afbcada418f07bbccc,chachang25,"631,336","590,066","-424,625.36","-383,355.36",,"-383,355.36","-38,335.54",,
0xa77aba37ed35f2f85b23eb65eac9840b6c71d00b,Kyn199,"575,107","537,207","-396,886.55","-358,986.55",,"-358,986.55","-35,898.66",,
0x1a13ea2705c5d98518e1a93bd6d3ff30052ba5b1,Drzman07,"523,100","478,287","-270,429.32","-225,616.32",,"-225,616.32","-22,561.63",,
0x7eedb5b5668fe5a2cea074bcf34cfef5fa5cbeec,robertwin,"2,342,749","2,113,829","-443,650.19","-214,730.19",,"-214,730.19","-21,473.02",,
RiDx,RiDx,"368,196","341,070","-226,295.00","-199,169.00",,"-199,169.00","-19,916.90",,
CT_Director,CT_Director,"586,600","557,557","-210,388.02","-181,345.02",,"-181,345.02","-18,134.50",,
Ojadernogueira,Ojadernogueira,"249,996","232,496","-170,947.26","-153,447.56",,"-153,447.56","-15,344.76",,
0xd291e69d30563a3c6e97b188b70260aae033bbe3,slyze_eth,"190,000","171,000","-164,800.00","-145,800.00",,"-145,800.00","-14,580.00",,
0x96dff13c1e5d4b155ab1e74805614a61d2a9c43c,Ostricheggless,"340,529","321,550","-153,294.15","-134,315.15",,"-134,315.15","-13,431.52",,
0x8e250cf7ac398f202b285ebdbcb1a42d2503ce28,Fr88123,"1,862,000","1,675,800","-309,824.00","-123,624.00",,"-123,624.00","-12,362.40",,
0x8fe55f4ff0b60ea7fd6ccf7515786bc545b396bc,choowna,"506,100","465,490","-161,801.20","-121,191.20",,"-121,191.20","-12,119.12",,
0xe3197083c75ba9e9296c1db2d82ee8863e592783,bullrun23,"287,754","270,654","-132,774.23","-115,674.23",,"-115,674.23","-11,567.42",,
0x2215f0202106b6ba87479d9c796b6c4338119179,AntEscudero,"507,312","478,446","-125,603.62","-96,737.92",,"-96,737.92","-9,673.79",,
0xb27845d8a09e9d8ec21ceab2bfe851967fe529af,Ian Alex,"502,678","470,353","-126,044.25","-93,719.25",,"-93,719.25","-9,371.93",,
0xb869e63d6c1678dc1b73dd2bfdf1912fc1be6a33,iuga_13,"159,927","148,580","-104,539.80","-93,192.80",,"-93,192.80","-9,319.28",,
0x5d8be445769524be31c427b5702c0141fcf059d2,phoenix_9166,"110,607","105,287","-98,075.81","-92,755.81",,"-92,755.81","-9,275.58",,
Meet Godani,Meet Godani,"266,015","247,971","-110,609.24","-92,565.74","92,566",0.00,0.00,,
0x5b030c9f9bea9baad263bbdfac94805b517e2bf3,Saisback,"586,349","543,924","-128,791.97","-86,366.97",,"-86,366.97","-8,636.70",,
0x447ebc874814b93dc82619d6284b916ed27c5220,Vdleon,"182,000","165,960","-99,900.80","-83,860.80",,"-83,860.80","-8,386.08",,
Anandh AB,Anandh AB,"471,700","448,115","-100,393.45","-76,808.45",,"-76,808.45","-7,680.85",,
0x408bd1bad19acaf9dd1d97353cbc4edf17b61bf6,alex5214,"262,500","238,650","-76,003.20","-76,153.20",,"-76,153.20","-7,615.32",,
0x961f46e1bb0dd0a4bf9856b01747787e4ab6c930,konstantinn108,"125,000","112,500","-88,640.00","-76,140.00",,"-76,140.00","-7,614.00",,
Primelink,Primelink,"100,000","90,000","-83,800.00","-73,800.00",,"-73,800.00","-7,380.00",,
